State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Andhra Pradesh,21,Total District(s),2015,1027,206,684,174,4616,2200,6121,0,384,303,12,0,0,204,15931
Arunachal Pradesh,21,Total District(s),2015,71,12,128,0,101,2,66,0,2,0,0,0,0,2,384
Assam,39,Total District(s),2015,1733,499,5039,216,4293,111,11225,0,0,95,0,0,0,47,23258
Bihar,47,Total District(s),2015,1041,403,5158,1154,198,96,3792,0,0,1867,0,0,161,21,13891
Chhattisgarh,29,Total District(s),2015,1560,19,1354,89,1868,53,620,0,141,10,0,0,2,4,5720
Goa,4,Total District(s),2015,86,0,70,0,150,34,19,0,3,0,0,0,0,3,365
Gujarat,42,Total District(s),2015,503,3,1569,12,1164,73,4133,0,232,36,0,0,2,35,7762
Haryana,25,Total District(s),2015,1070,105,2336,243,1886,90,3525,0,122,14,0,0,11,44,9446
Himachal Pradesh,16,Total District(s),2015,244,1,239,2,434,58,226,0,64,0,0,0,15,6,1289
Jammu & Kashmir,31,Total District(s),2015,296,21,1071,6,1343,175,400,0,50,1,0,0,0,0,3363
Jharkhand,27,Total District(s),2015,1053,202,930,267,844,10,1654,0,3,1552,0,0,0,3,6518
Karnataka,37,Total District(s),2015,589,16,1611,254,5112,154,2732,0,273,1541,2,0,1,420,12705
Kerala,22,Total District(s),2015,1256,30,192,8,3987,267,3668,0,25,4,4,0,132,135,9708
Madhya Pradesh,56,Total District(s),2015,4391,57,4547,664,8049,390,5281,0,577,62,1,0,91,25,24135
Maharashtra,47,Total District(s),2015,4144,13,5096,268,11713,1119,7640,0,702,42,0,0,8,381,31126
Manipur,11,Total District(s),2015,46,1,94,0,84,2,39,0,0,0,0,0,0,0,266
Meghalaya,12,Total District(s),2015,93,23,58,1,95,20,44,0,0,0,0,0,0,0,334
Mizoram,11,Total District(s),2015,58,6,8,0,75,2,9,0,0,0,0,0,0,0,158
Nagaland,12,Total District(s),2015,35,1,30,0,8,9,4,0,0,0,0,0,0,3,90
Odisha,39,Total District(s),2015,2251,137,2587,356,6499,472,3605,0,1,1201,0,0,0,35,17144
Punjab,29,Total District(s),2015,886,128,1253,85,1123,27,1583,0,126,8,1,0,2,69,5291
Rajasthan,44,Total District(s),2015,3644,407,4167,463,4813,9,14383,0,161,9,9,0,14,86,28165
Tamil Nadu,43,Total District(s),2015,421,29,1335,65,1163,20,1900,0,79,333,7,0,4,491,5847
Telangana,14,Total District(s),2015,1105,43,648,262,3608,1288,7329,0,590,2,2,0,6,252,15135
Tripura,10,Total District(s),2015,213,38,120,28,352,6,501,0,7,0,0,0,0,2,1267
Uttar Pradesh,77,Total District(s),2015,3025,422,10135,2335,7885,11,8660,0,251,2766,0,0,4,33,35527
Uttarakhand,14,Total District(s),2015,283,10,336,54,318,12,407,2,1,12,0,0,0,18,1453
West Bengal,31,Total District(s),2015,1199,1551,3938,498,5069,455,20163,4,233,4,1,0,2,101,33218
A & N Islands,4,Total District(s),2015,36,0,21,0,57,5,14,0,1,0,0,0,2,0,136
Chandigarh,2,Total District(s),2015,72,6,165,5,76,10,126,0,3,0,0,0,0,0,463
D&N Haveli,2,Total District(s),2015,8,0,9,1,5,0,2,0,0,0,0,0,0,0,25
Daman & Diu,3,Total District(s),2015,5,0,13,0,7,0,3,0,0,0,0,0,0,0,28
Delhi UT,20,Total District(s),2015,2199,46,4301,122,5367,1492,3521,0,29,20,0,0,4,3,17104
Lakshadweep,2,Total District(s),2015,0,0,0,0,6,1,2,0,0,0,0,0,0,0,9
Puducherry,3,Total District(s),2015,3,1,14,1,33,10,4,0,0,12,1,0,0,1,80
